"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","diff.pct","HGNC.symbol"
"Ftl1-ps1",1,0,1.92596196956287,0.93,0.118,0,"UUO",0.812,"FTL"
"Guca2b",2,0,0.745828401156475,0.766,0.43,0,"UUO",0.336,"GUCA2B"
"Rpl36al",3,0,0.729102795773434,0.79,0.356,0,"UUO",0.434,"RPL36A"
"Ly6e",4,0,0.688640326548972,0.619,0.211,0,"UUO",0.408,"LY6E"
"Tmsb4x",5,0,0.683084397525767,0.536,0.227,0,"UUO",0.309,"TMSB4Y"
"B2m",6,0,0.645755165251468,0.684,0.33,0,"UUO",0.354,"B2M"
"Rpl29",8,0,0.597713723333333,0.86,0.487,0,"UUO",0.373,"RPL29"
"Cndp2",9,0,0.561875870753939,0.642,0.329,0,"UUO",0.313,"CNDP2"
"Cd52",10,0,0.552874369127025,0.246,0.055,0,"UUO",0.191,"CD52"
"Slc7a13",11,0,0.53639480882115,0.452,0.159,0,"UUO",0.293,"SLC7A13"
"Defb29",12,0,0.535498825896598,0.534,0.257,0,"UUO",0.277,"DEFB116"
"Atp11a",13,0,0.529769601935854,0.474,0.201,0,"UUO",0.273,"ATP11A"
"Rpl27a",15,0,0.502804114923291,0.964,0.709,0,"UUO",0.255,"RPL27A"
"Rpl27",18,0,0.484587587980376,0.865,0.588,0,"UUO",0.277,"RPL27"
"Hao2",19,0,0.481534168193573,0.527,0.262,0,"UUO",0.265,"HAO2"
"Lgals1",20,0,0.475199439176117,0.391,0.152,0,"UUO",0.239,"LGALS1"
"S100a10",21,0,0.469555155904398,0.475,0.219,0,"UUO",0.256,"S100A10"
"Rac2",22,0,0.465275924191809,0.216,0.043,0,"UUO",0.173,"RAC2"
"Ccdc6",23,0,0.457948096945712,0.365,0.127,0,"UUO",0.238,"CCDC6"
"Ghr",27,0,0.439271450306396,0.534,0.308,0,"UUO",0.226,"GHR"
"Ost4",28,0,0.428032025389967,0.695,0.426,0,"UUO",0.269,"OST4"
"Mpc1",29,0,0.424554365148945,0.707,0.437,0,"UUO",0.27,"MPC1"
"Rps27rt",30,0,0.423797702936117,0.298,0.072,0,"UUO",0.226,"RPS27"
"Nat8f6",31,0,0.423159786930466,0.323,0.11,0,"UUO",0.213,"NAT8"
"Coro1a",33,0,0.41458628389484,0.199,0.044,0,"UUO",0.155,"CORO1A"
"Acy3",34,0,0.413270567044106,0.625,0.381,0,"UUO",0.244,"ACY3"
"Slc22a12",35,0,0.40139871550118,0.572,0.341,0,"UUO",0.231,"SLC22A12"
"Ldhd",36,0,0.39666355891859,0.421,0.189,0,"UUO",0.232,"LDHD"
"Rpl12",37,0,0.396197379908782,0.802,0.563,0,"UUO",0.239,"RPL12"
"Slc6a18",38,0,0.393826512105154,0.346,0.127,0,"UUO",0.219,"SLC6A18"
"Rpl18",39,0,0.393779936749888,0.849,0.631,0,"UUO",0.218,"RPL18"
"Slc22a30",40,0,0.389899831580733,0.363,0.183,0,"UUO",0.18,"SLC22A9"
"Rps6",41,0,0.38602406002445,0.907,0.698,0,"UUO",0.209,"RPS6"
"Rpl4",42,0,0.38462933438342,0.842,0.613,0,"UUO",0.229,"RPL4"
"Trbc2",43,0,0.384164631148239,0.158,0.027,0,"UUO",0.131,"TRBC1"
"Cd74",44,0,0.381227008983671,0.209,0.04,0,"UUO",0.169,"CD74"
"Arhgdib",45,0,0.37917543188885,0.192,0.046,0,"UUO",0.146,"ARHGDIB"
"Rps2",46,0,0.377225421995053,0.97,0.801,0,"UUO",0.169,"RPS2"
"Pfn1",48,0,0.371177352205086,0.729,0.522,0,"UUO",0.207,"PFN1"
"Dynll1",49,0,0.368943508641709,0.596,0.355,0,"UUO",0.241,"DYNLL1"
"H2-D1",50,0,0.367432538989594,0.354,0.206,0,"UUO",0.148,"HLA-E"
"Rps7",52,0,0.367156622412795,0.888,0.701,0,"UUO",0.187,"RPS7"
"Mpv17l",53,0,0.364964972838263,0.373,0.165,0,"UUO",0.208,"MPV17L"
"Slc13a1",54,0,0.361893997959721,0.392,0.21,0,"UUO",0.182,"SLC13A1"
"Pabpc1",55,0,0.361782882312824,0.583,0.357,0,"UUO",0.226,"PABPC3"
"Eef1b2",57,0,0.359469719454851,0.652,0.422,0,"UUO",0.23,"EEF1B2"
"Ms4a4b",58,0,0.358887415652865,0.143,0.017,0,"UUO",0.126,"MS4A4A"
"Rpl30",59,0,0.358357166411317,0.867,0.65,0,"UUO",0.217,"RPL30"
"Igkc",60,0,0.35761641195383,0.216,0.032,0,"UUO",0.184,"IGKC"
"Napsa",62,0,0.352787664251745,0.457,0.238,0,"UUO",0.219,"NAPSA"
"Actg1",63,0,0.351892120134201,0.66,0.448,0,"UUO",0.212,"ACTG1"
"Dnajc19",64,0,0.350648713904564,0.697,0.49,0,"UUO",0.207,"DNAJC19"
"Odc1",65,0,0.347194877227491,0.55,0.352,0,"UUO",0.198,"ODC1"
"Rps19",67,0,0.344587601252464,0.98,0.853,0,"UUO",0.127,"RPS19"
"Cda",69,0,0.343928819220265,0.554,0.343,0,"UUO",0.211,"CDA"
"Cd3g",70,0,0.343549830793548,0.143,0.023,0,"UUO",0.12,"CD3G"
"Eef1g",73,0,0.336512606042194,0.66,0.442,0,"UUO",0.218,"EEF1G"
"Ltb",74,0,0.336510302404038,0.14,0.024,0,"UUO",0.116,"LTB"
"Rbm3",75,0,0.334238058428195,0.357,0.172,0,"UUO",0.185,"RBM3"
"Rps16",76,0,0.333626627131617,0.953,0.794,0,"UUO",0.159,"RPS16"
"Rps13",77,0,0.333188331010744,0.914,0.733,0,"UUO",0.181,"RPS13"
"Atp5g2",78,0,0.33024852389527,0.734,0.491,0,"UUO",0.243,"ATP5MC2"
"Rpl35a",80,0,0.328755049421914,0.973,0.815,0,"UUO",0.158,"RPL35A"
"Rps11",81,0,0.32787267840657,0.957,0.8,0,"UUO",0.157,"RPS11"
"Cd3d",82,0,0.327706916058389,0.14,0.022,0,"UUO",0.118,"CD3D"
"Nuak2",83,0,0.326939739203282,0.247,0.078,0,"UUO",0.169,"NUAK2"
"Arpc1b",84,0,0.324488512292343,0.233,0.106,0,"UUO",0.127,"ARPC1B"
"Laptm5",85,0,0.323921314463992,0.164,0.033,0,"UUO",0.131,"LAPTM5"
"Mrps36",87,0,0.321318406678763,0.525,0.317,0,"UUO",0.208,"MRPS36"
"Psmb8",90,0,0.315990344772423,0.174,0.044,0,"UUO",0.13,"PSMB8"
"Tomm20",92,0,0.315357669100832,0.612,0.39,0,"UUO",0.222,"TOMM20"
"Rps3a1",93,0,0.314726049087429,0.918,0.748,0,"UUO",0.17,"RPS3A"
"Rpl7",94,0,0.314091371840328,0.882,0.694,0,"UUO",0.188,"RPL7"
"Crip1",95,0,0.314087753023006,0.227,0.11,0,"UUO",0.117,"CRIP1"
"Cdk2ap2",96,0,0.313544042783486,0.382,0.189,0,"UUO",0.193,"CDK2AP2"
"Btg1",97,0,0.312962089131733,0.323,0.216,0,"UUO",0.107,"BTG1"
"Med28",98,0,0.312478203874603,0.485,0.285,0,"UUO",0.2,"MED28"
"Mat2a",99,0,0.312216092542156,0.52,0.381,0,"UUO",0.139,"MAT2A"
"Rpsa",100,0,0.311405585112712,0.85,0.666,0,"UUO",0.184,"RPSAP58"
"Msrb1",101,0,0.310972428015973,0.606,0.413,0,"UUO",0.193,"MSRB1"
"Rps20",102,0,0.308884898779128,0.933,0.763,0,"UUO",0.17,"RPS20"
"S100a6",103,0,0.308322838137796,0.157,0.048,0,"UUO",0.109,"S100A6"
"Hcst",104,0,0.308204960155681,0.153,0.032,0,"UUO",0.121,"HCST"
"Rpl15",105,0,0.306162445415862,0.883,0.699,0,"UUO",0.184,"RPL15"
"Rps24",106,0,0.306112982519415,0.956,0.814,0,"UUO",0.142,"RPS24"
"1700016C15Rik",107,0,0.304912878275767,0.252,0.085,0,"UUO",0.167,"C1orf100"
"Rpl10a",108,0,0.304552585807629,0.882,0.7,0,"UUO",0.182,"RPL10A"
"Rps9",109,0,0.304374181660663,0.917,0.754,0,"UUO",0.163,"RPS9"
"Ptpn18",110,0,0.303625412166492,0.199,0.085,0,"UUO",0.114,"PTPN18"
"Rps5",111,0,0.301755337910544,0.928,0.771,0,"UUO",0.157,"RPS5"
"Rack1",112,0,0.301076225940058,0.709,0.515,0,"UUO",0.194,"RACK1"
"Krtcap2",113,0,0.300420374957022,0.457,0.265,0,"UUO",0.192,"KRTCAP2"
"Btf3",114,0,0.299667114364195,0.61,0.415,0,"UUO",0.195,"BTF3"
"S100a11",116,0,0.299159372054002,0.407,0.234,0,"UUO",0.173,"S100A11"
"H2-K1",117,0,0.298746641047906,0.351,0.219,0,"UUO",0.132,"HLA-E"
"Tma7",118,0,0.298083329372743,0.7,0.489,0,"UUO",0.211,"TMA7"
"Nhp2",119,0,0.297826889087532,0.34,0.163,0,"UUO",0.177,"NHP2"
"Mrpl33",120,0,0.297402490286659,0.538,0.34,0,"UUO",0.198,"MRPL33"
"Rpl22",122,0,0.296813056691901,0.839,0.641,0,"UUO",0.198,"RPL22"
"Ms4a6b",123,0,0.296796908647862,0.137,0.021,0,"UUO",0.116,"MS4A6A"
"Cd36",124,0,0.296701591763026,0.242,0.068,0,"UUO",0.174,"CD36"
"Srp9",126,0,0.296256915011032,0.522,0.323,0,"UUO",0.199,"SRP9"
"Rpl23a",127,0,0.295864527656501,0.951,0.805,0,"UUO",0.146,"RPL23A"
"Sat1",128,0,0.294521357623423,0.638,0.451,0,"UUO",0.187,"SAT1"
"Slc13a3",129,0,0.294402086552015,0.458,0.265,0,"UUO",0.193,"SLC13A3"
"Limd2",130,0,0.293043141216219,0.18,0.056,0,"UUO",0.124,"LIMD2"
"Lck",131,0,0.291825583402576,0.13,0.021,0,"UUO",0.109,"LCK"
"Rpl18a",132,0,0.291662927064098,0.956,0.82,0,"UUO",0.136,"RPL18A"
"Ppdpf",133,0,0.289231174709476,0.446,0.259,0,"UUO",0.187,"PPDPF"
"Vim",135,0,0.287495478000144,0.133,0.026,0,"UUO",0.107,"VIM"
"Fau",136,0,0.286620128068968,0.97,0.86,0,"UUO",0.11,"FAU"
"Id2",137,0,0.285590119710431,0.658,0.462,0,"UUO",0.196,"ID2"
"Lrrc58",138,0,0.285395261661426,0.355,0.189,0,"UUO",0.166,"LRRC58"
"Tpm3",139,0,0.285307311953912,0.269,0.117,0,"UUO",0.152,"TPM3"
"Tsc22d1",141,0,0.283265604310066,0.436,0.283,0,"UUO",0.153,"TSC22D1"
"Rps15",142,0,0.28291596833887,0.935,0.785,0,"UUO",0.15,"RPS15"
"Shisa5",143,0,0.282500490428306,0.255,0.13,0,"UUO",0.125,"SHISA5"
"Ptprc",144,0,0.282415662115212,0.153,0.035,0,"UUO",0.118,"PTPRC"
"Tmem150a",145,0,0.282396662572844,0.327,0.162,0,"UUO",0.165,"TMEM150A"
"Oaz1",146,0,0.280742971532378,0.89,0.707,0,"UUO",0.183,"OAZ1"
"Rnaset2b",148,0,0.280113688581264,0.205,0.052,0,"UUO",0.153,"RNASET2"
"Rps3",149,0,0.279844985641806,0.894,0.737,0,"UUO",0.157,"RPS3"
"Rps23",150,0,0.278520856416654,0.975,0.855,0,"UUO",0.12,"RPS23"
"Rps4x",151,0,0.27764420707496,0.901,0.748,0,"UUO",0.153,"RPS4X"
"Nme2",152,0,0.277512642315929,0.235,0.079,0,"UUO",0.156,"NME2"
"Rpl19",153,0,0.277499299953313,0.942,0.804,0,"UUO",0.138,"RPL19"
"Ucp2",154,0,0.276639844827849,0.267,0.122,0,"UUO",0.145,"UCP2"
"Lat",155,0,0.27658409984865,0.123,0.017,0,"UUO",0.106,"LAT"
"Hnrnpf",156,0,0.275035319350621,0.383,0.226,0,"UUO",0.157,"HNRNPF"
"Zfp36l2",158,0,0.273454757928318,0.226,0.098,0,"UUO",0.128,"ZFP36L2"
"Rplp1",159,0,0.272989273050947,0.983,0.881,0,"UUO",0.102,"RPLP1"
"Psenen",160,0,0.272283460946296,0.384,0.211,0,"UUO",0.173,"PSENEN"
"Rps25",161,0,0.271546805340836,0.943,0.792,0,"UUO",0.151,"RPS25"
"Tmed2",162,0,0.270798195991132,0.425,0.252,0,"UUO",0.173,"TMED2"
"Lsp1",163,0,0.27052112339306,0.137,0.027,0,"UUO",0.11,"LSP1"
"Emp3",164,0,0.26970596685217,0.139,0.029,0,"UUO",0.11,"EMP3"
"Nkg7",165,0,0.269576759484012,0.106,0.025,0,"UUO",0.081,"NKG7"
"Gmfg",166,0,0.268639785166775,0.166,0.049,0,"UUO",0.117,"GMFG"
"Tmigd1",168,0,0.268131793633213,0.29,0.126,0,"UUO",0.164,"TMIGD1"
"Eif3h",169,0,0.267997709317914,0.503,0.336,0,"UUO",0.167,"EIF3H"
"Rpl28",171,0,0.267833523323186,0.959,0.819,0,"UUO",0.14,"RPL28"
"S100a4",172,0,0.267774523236419,0.109,0.017,0,"UUO",0.092,"S100A4"
"Rpl34",173,0,0.265738034211699,0.907,0.741,0,"UUO",0.166,"RPL34"
"Rpl32",175,0,0.264936913519391,0.978,0.869,0,"UUO",0.109,"RPL32"
"Jund",176,0,0.263922994697129,0.468,0.308,0,"UUO",0.16,"JUND"
"Rpl13",177,0,0.263706866151043,0.979,0.877,0,"UUO",0.102,"RPL13"
"Slc5a8",178,0,0.263683956646937,0.338,0.176,0,"UUO",0.162,"SLC5A8"
"Ttc36",179,0,0.263588882625435,0.744,0.612,0,"UUO",0.132,"TTC36"
"Manf",180,0,0.262788635273592,0.298,0.142,0,"UUO",0.156,"MANF"
"Zfp706",182,0,0.261627884696963,0.658,0.475,0,"UUO",0.183,"ZNF706"
"Hspe1",183,0,0.261454837012956,0.816,0.645,0,"UUO",0.171,"HSPE1"
"mt-Atp6",184,0,0.260946988339125,0.999,0.91,0,"UUO",0.089,"MT-ATP6"
"Gchfr",185,0,0.259896735721177,0.299,0.147,0,"UUO",0.152,"GCHFR"
"Eef1a1",186,0,0.259491837736796,0.974,0.862,0,"UUO",0.112,"EEF1A1"
"Junb",189,0,0.257611163365402,0.174,0.059,0,"UUO",0.115,"JUNB"
"Gnai2",190,0,0.257002682938709,0.324,0.182,0,"UUO",0.142,"GNAI2"
"Srgn",191,0,0.255775699045214,0.152,0.043,0,"UUO",0.109,"SRGN"
"Thy1",193,0,0.253928877729772,0.108,0.013,0,"UUO",0.095,"THY1"
"Gclm",194,0,0.253874968898029,0.387,0.234,0,"UUO",0.153,"GCLM"
"Rdh16f2",195,0,0.253810389415094,0.291,0.151,0,"UUO",0.14,"RDH16"
"Trmt112",196,0,0.253720870220761,0.323,0.169,0,"UUO",0.154,"TRMT112"
"Selplg",197,0,0.252550669331049,0.131,0.025,0,"UUO",0.106,"SELPLG"
"Slco1a1",198,0,0.25250988371479,0.206,0.06,0,"UUO",0.146,"SLCO1A2"
"Reep5",199,0,0.252190728793827,0.347,0.191,0,"UUO",0.156,"REEP5"
"Mkrn1",200,0,0.251396509509032,0.304,0.152,0,"UUO",0.152,"MKRN1"
"Fyb",201,0,0.251365621153201,0.134,0.032,0,"UUO",0.102,"FYB1"
"Set",203,0,0.247455548911898,0.381,0.23,0,"UUO",0.151,"SETSIP"
"Ube2i",204,0,0.247098032689358,0.235,0.098,0,"UUO",0.137,"UBE2I"
"Cycs",205,0,0.246299000091498,0.796,0.649,0,"UUO",0.147,"CYCS"
"H2-T22",206,0,0.246140307893204,0.21,0.077,0,"UUO",0.133,"HLA-E"
"Trbc1",207,0,0.245231747735251,0.103,0.019,0,"UUO",0.084,"TRBC1"
"H2-Q7",208,0,0.245023458594428,0.121,0.023,0,"UUO",0.098,"HLA-E"
"Cyp4a31",210,0,0.244840179765119,0.235,0.098,0,"UUO",0.137,"CYP4F12"
"Selenok",211,0,0.244804445691021,0.513,0.344,0,"UUO",0.169,"SELENOK"
"Slfn2",212,0,0.244615092773092,0.126,0.024,0,"UUO",0.102,"SLFN12"
"Npm3",213,0,0.244524051536676,0.245,0.104,0,"UUO",0.141,"NPM3"
"Rpl24",214,0,0.243335662581963,0.948,0.81,0,"UUO",0.138,"RPL24"
"Ptprcap",215,0,0.242782243416019,0.119,0.024,0,"UUO",0.095,"PTPRCAP"
"Serp1",216,0,0.242162504958379,0.42,0.264,0,"UUO",0.156,"SERP1"
"Sft2d1",217,0,0.241572142833143,0.171,0.035,0,"UUO",0.136,"SFT2D1"
"Arpc4",218,0,0.240453099261796,0.231,0.1,0,"UUO",0.131,"ARPC4"
"Eif3f",219,0,0.240246948207645,0.494,0.347,0,"UUO",0.147,"EIF3F"
"Rpl22l1",221,0,0.238852539166246,0.69,0.513,0,"UUO",0.177,"RPL22L1"
"H3f3a",222,0,0.238425881929251,0.647,0.488,0,"UUO",0.159,"H3-3A"
"Mylk",223,0,0.237241731415093,0.171,0.047,0,"UUO",0.124,"MYLK"
"Ugt3a1",224,0,0.236869295231668,0.225,0.088,0,"UUO",0.137,"UGT3A2"
"Rpl23",225,0,0.236818076042444,0.974,0.865,0,"UUO",0.109,"RPL23"
"Slc51b",226,0,0.236769922943602,0.225,0.095,0,"UUO",0.13,"SLC51B"
"Arhgap45",227,0,0.236624516558917,0.13,0.028,0,"UUO",0.102,"ARHGAP45"
"Erich4",228,0,0.235664193285646,0.34,0.193,0,"UUO",0.147,"ERICH4"
